DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Longitude,Latitude,LocQual,Source,Comments
1163,Lv-336,,,1700,75,,charcoal,,969,Alba Fucens,,settlement,13.409,42.0799,A,Gilot 1970,
1164,Lv-337,,,2180,100,,charcoal,,969,Alba Fucens,,settlement,13.409,42.0799,A,Gilot 1970,
1165,Lv-355,,,2030,75,,charcoal,,6675,Ordona,,settlement,15.6266,41.3144,A,Gilot and Capron 1971,
1166,Lv-356,,,2170,65,,charcoal,,6675,Ordona,Ordona 67.OR.66,settlement,15.6266,41.3144,A,Gilot and Capron 1971,
1167,Lv-357,,,1820,75,,charcoal,,6675,Ordona,Ordona 67.OR.55,settlement,15.6266,41.3144,A,Gilot and Capron 1971,
1168,Lv-365,,,1810,80,,charcoal,,969,Alba Fucens,,settlement,13.409,42.0799,A,Gilot and Capron 1971,
1169,Lv-366,,,2190,90,,charcoal,,969,Alba Fucens,,settlement,13.409,42.0799,A,Gilot and Capron 1971,
1170,Lv-371,,,1900,60,,charcoal,,6675,Ordona,Ordona 67.OR.154,settlement,15.6266,41.3144,A,Gilot and Capron 1971,
1171,Lv-372,,,2030,90,,charcoal,,6675,Ordona,Ordona 67.OR.219,settlement,15.6266,41.3144,A,Gilot and Capron 1971,
1172,Lv-373,,,2210,80,,charcoal,,6675,Ordona,Ordona 67.OR.142,settlement,15.6266,41.3144,A,Gilot and Capron 1971,
1173,Lv-500,,,1780,70,,charcoal,,6675,Ordona,Ordona 69.OR.35,settlement,15.6266,41.3144,A,Gilot and Capron 1971,
1174,Lv-501,,,1780,70,,charcoal,,6675,Ordona,Ordona 69.OR.91,settlement,15.6266,41.3144,A,Gilot and Capron 1971,
1175,Ly-1011,,,3990,120,,wood,,16901,"Villa San Maria, Chieti",,,14.3667,41.95,A,Evin et al. 1979,
1176,Ly-1012,,,5240,120,,wood,,16901,"Villa San Maria, Chieti",,,14.3667,41.95,A,Evin et al. 1979,
1177,Ly-10739,,,5556,35,,,,12223,"Travo - Via Sant'Andrea, Piacenza, Emilia Romagna",Hearth 1,settlement,9.5481,44.8633,A,Maffi 2014,
1178,Ly-12825,,,3630,45,,,,10174,"Aci Trezza, Aci Castello",I SI 48,,15.1614,37.5636,A,BANADORA,
1179,Ly-12889,,,9510,50,,bone,,6710,"Abisso Armaduk, Briga Alta",AA 444,settlement,7.7077,44.1502,A,BANADORA,
1180,Ly-13596,,,2810,40,,charcoal,,7718,"Lac Verney, La Thuile",trench 10 - level 8 B,settlement,6.8825,45.6876,A,BANADORA,
1181,Ly-14148,,,2025,35,,wood,,7080,"Portus, Fiumicino",0,harbour,12.2562,41.7752,A,BANADORA,
1182,Ly-1448,,,6860,45,,,,11370,Torre Sabea,level 2c,settlement,18.0085,40.0794,A,Grifoni Cremonesi and Radi 2014,
1183,Ly-17595,,,2140,30,,,,7080,"Portus, Fiumicino",,harbour,12.2562,41.7752,A,Goiran et al. 2011,
1184,Ly-3010,,,6230,60,,charcoal,,88,"Rio Saboccu, Guspini",,settlement ,8.5702,39.6838,A,Lugliè 2018,
1185,Ly-3034,,,3960,200,,,,7645,Querciola,,settlement,11.3205,43.842,A,Skeates 1996,
1186,Ly-3035,,,4130,150,,,,7645,Querciola,,settlement,11.3205,43.842,A,Skeates 1996,
1187,Ly-4002,,,6590,140,,grain,Cerealia,11370,Torre Sabea,,settlement,18.0085,40.0794,A,Sanchez et al. 2010; CalPal,
1188,Ly-4569,,,8750,40,,,,10888,Grotta Mora Cavorso,layer L4-UR,cave,13.1739,41.8779,A,Rolfo et al. 2016,
1189,Ly-4570,,,8650,40,,,,10888,Grotta Mora Cavorso,layer L4-UR,cave,13.1739,41.8779,A,Rolfo et al. 2016,
1190,Ly-4925,,,5070,70,,,,8171,Mulino Sant'Antonio,,settlement,14.5989,40.9582,A,BANADORA,
1191,Ly-5201,,,8805,45,,,,10888,Grotta Mora Cavorso,layer L4-LR,cave,13.1739,41.8779,A,Rolfo et al. 2016,
1192,Ly-5202,,,6275,45,,charcoal,,10888,Grotta Mora Cavorso,layer L3-UR,cave,13.1739,41.8779,A,Rolfo et al. 2016,
